Store,Cashback (%),Link
BCF,1.5,https://www.shopback.com.au/bcf
Disney+,25,https://www.shopback.com.au/disney-plus
Qatar Airways,4,https://www.shopback.com.au/qatar-airways
Amazon Music Unlimited,2.2,https://www.shopback.com.au/amazon-music-unlimited
Sportsgirl,2,https://www.shopback.com.au/sportsgirl
YSL Beauty,14,https://www.shopback.com.au/ysl-beauty
City Chic,8.4,https://www.shopback.com.au/city-chic
ASICS,2.5,https://www.shopback.com.au/asics
Koala,2,https://www.shopback.com.au/koala
Harris Scarfe,1.2,https://www.shopback.com.au/harris-scarfe
Skyscanner,3.5,https://www.shopback.com.au/skyscanner
Muscle Nation,8.4,https://www.shopback.com.au/muscle-nation
Youfoodz,45,https://www.shopback.com.au/youfoodz
Spotlight,1.5,https://www.shopback.com.au/spotlight
Kathmandu,7,https://www.shopback.com.au/kathmandu
Aje.,3.5,https://www.shopback.com.au/aje
Bed Bath N' Table,4.8,https://www.shopback.com.au/bed-bath-n-table
Cover-More Travel Insurance,12,https://www.shopback.com.au/cover-more-travel-insurance
Platypus Shoes,3.6,https://www.shopback.com.au/platypus-shoes
Meshki,4,https://www.shopback.com.au/meshki
Showpo,4.2,https://www.shopback.com.au/showpo
Myprotein,12,https://www.shopback.com.au/myprotein
Stayz,6,https://www.shopback.com.au/stayz
Paula's Choice,8.5,https://www.shopback.com.au/paulas-choice
Exetel,85,https://www.shopback.com.au/exetel-australia
Culture Kings,3,https://www.shopback.com.au/culturekings
"Health, Skincare & Hair Essentials at Chemist Warehouse",20,https://www.shopback.com.au/health-skincare-hair-essentials-cwh
Petal & Pup,10.5,https://www.shopback.com.au/petal-pup
Lovehoney,9,https://www.shopback.com.au/lovehoney
SHEIKE,2.4,https://www.shopback.com.au/sheike
House AU,6.3,https://www.shopback.com.au/house
AVIS,9.1,https://www.shopback.com.au/avis
IHG Hotels & Resorts,1,https://www.shopback.com.au/ihg-hotels-and-resorts
CHARLES & KEITH,10.5,https://www.shopback.com.au/charles-keith
EnergyAustralia (Compare),320,https://www.shopback.com.au/energyaustralia
Traveloka,4.5,https://www.shopback.com.au/traveloka
The Athlete's Foot,3,https://www.shopback.com.au/the-athletes-foot
Sony,15,https://www.shopback.com.au/sony
Lenovo,2.75,https://www.shopback.com.au/lenovo
Giorgio Armani Beauty,5,https://www.shopback.com.au/giorgio-armani-beauty
Red Energy (Compare),320,https://www.shopback.com.au/red-energy
PrettyLittleThing,10.5,https://www.shopback.com.au/prettylittlething
Specsavers,4.8,https://www.shopback.com.au/specsavers
YesStyle,2.4,https://www.shopback.com.au/yesstyle
Coach Outlet,7,https://www.shopback.com.au/coach-outlet
Aunt Betty Travel,1.4,https://www.shopback.com.au/aunt-betty-travel
Broadband Comparison,110,https://www.shopback.com.au/broadband-comparison
Bing Lee,1.5,https://www.shopback.com.au/bing-lee
amaysim Mobile,65,https://www.shopback.com.au/amaysim-mobile
Shoes & Sox,9,https://www.shopback.com.au/shoes-and-sox
HelloFresh,60,https://www.shopback.com.au/hellofresh
Ninja Kitchen,4,https://www.shopback.com.au/ninja-australia
HALARA,7,https://www.shopback.com.au/halara
